"","total","General Fund","Water Fund","Water Residual Fund","County Liquid Fuels Tax Fund","Specaal Gasoline Tax Fun","HEALTHCHOICES BEHAVIORAL HEALTH REVENUE FUND","HOTEL ROOM RENTAL TAX Fund","Grants Fund","Aviation Fund","Community Development Fund","Car Rental Rental Tax Fund","Municipal Pension Fund","Housing Trust Fund","Acute Care Hospital Fund"
"DEPARTMENT OF PUBLIC PROPERTY",69705540,65448723,4256817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY Ð CITY SUBSIDY General Fund	FOR SEPTA	",82749000,82749000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY Ð SPACE RENTALS",20950268,20950268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY Ð UTILITIES",51555024,24655024,NA,NA,NA,NA,NA,NA,NA,26900000,NA,NA,NA,NA,NA
"DEPARTMENT OF HUMAN SERVICES",699069830,109035530,NA,NA,NA,NA,NA,NA,590034300,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF HUMAN SERVICES Ð OFFICE OF HOMELESS SERVICES",95128265,48247957,NA,NA,NA,NA,NA,NA,46880308,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PRISONS",259208360,258958360,NA,NA,NA,NA,NA,NA,250000,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS",36270084,35755266,NA,NA,NA,NA,NA,NA,NA,NA,514818,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS Ð BOARD OF LICENSE AND INSPECTION REVIEW",171785,171785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS Ð BOARD OF BUILDING STANDARDS",75419,75419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF RECORDS",4878928,4878928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Payments 50893000",65754198,65754198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð COMMUNITY COLLEGE OF PHILADELPHIA",30409207,30409207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð FRINGE BENEFITS Personal Services-Employee Benefits 1307799345",1307799345,1307799345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð HERO AWARD",25000,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð INDEMNITIES",53932000,44920000,6500000,NA,NA,NA,NA,NA,NA,2512000,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð REFUNDS",250000,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð CONTRIBUTION TO SCHOOL DISTRICT",104348281,104348281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð WITNESS FEES",171518,171518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF REVENUE",73203218,30492518,16240700,NA,NA,NA,NA,NA,26425000,NA,NA,NA,NA,NA,45000
"DEPARTMENT OF REVENUE Ð SINKING FUND COMMISSION",462445337,296019214,NA,NA,NA,NA,NA,NA,NA,159426123,NA,7000000,NA,NA,NA
"PROCUREMENT DEPARTMENT",5021314,4932053,89261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY TREASURER",1203537,1203537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY REPRESENTATIVE",1217420,1217420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF COMMERCE",287264744,5667596,NA,NA,NA,NA,NA,70350000,10150000,192008836,9088312,NA,NA,NA,NA
"DIRECTOR OF COMMERCE Ð CONVENTION CENTER SUBSIDY",15000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF COMMERCE Ð ECONOMIC STIMULUS",2794448,2794448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW DEPARTMENT",20743397,15743191,3240830,NA,NA,NA,NA,NA,NA,1563803,195573,NA,NA,NA,NA
"BOARD OF ETHICS",1095489,1095489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFFICE OF SUSTAINABILITY",1206885,969138,93874,NA,NA,NA,NA,NA,50000,93873,NA,NA,NA,NA,NA
"BOARD OF TRUSTEES OF THE FREE LIBRARY OF PHILADELPHIA",49762477,40937562,NA,NA,NA,NA,NA,NA,8824915,NA,NA,NA,NA,NA,NA
"COMMISSION ON HUMAN RELATIONS",2204279,2204279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Payments 20000000",20196970,20196970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFFICE OF HUMAN RESOURCES",6011608,6011608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFFICE OF PROPERTY ASSESSMENT",13923826,13923826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUDITING DEPARTMENT",9199214,8949215,NA,NA,NA,NA,NA,NA,249999,NA,NA,NA,NA,NA,NA
"BOARD OF REVISION OF TAXES",1048926,1048926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REGISTER OF WILLS",4444282,4244282,NA,NA,NA,NA,NA,NA,200000,NA,NA,NA,NA,NA,NA
"DISTRICT ATTORNEY",54053956,37810487,NA,NA,NA,NA,NA,NA,16243469,NA,NA,NA,NA,NA,NA
"SHERIFF",23071824,23071824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY COMMISSIONERS",10811167,9911167,NA,NA,NA,NA,NA,NA,900000,NA,NA,NA,NA,NA,NA
"FIRST JUDICIAL DISTRICT OF PENNSYLVANIA",161466092,111442508,NA,NA,NA,NA,NA,NA,50023584,NA,NA,NA,NA,NA,NA
"WATER DEPARTMENT",431476608,NA,394476608,37000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð FRINGE BENEFITS",185530392,NA,122132283,NA,NA,1000000,NA,NA,NA,62129873,NA,NA,NA,NA,268236
"DEPARTMENT OF REVENUE Ð SINKING FUND MANAGEMENT",240267536,NA,240267536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WATER DEPARTMENT Ð PHILADELPHIA WATER SEWER AND STORMWATER RATE BOARD",970000,NA,970000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miscellaneous Payment 200001455",200001455,NA,NA,NA,NA,NA,NA,NA,200001455,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR Ð OFFICE OF FLEET MANAGEMENT ÐVEHICLE PURCHASE",4800000,NA,NA,NA,NA,NA,NA,NA,NA,4800000,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE",4221000,NA,NA,NA,NA,NA,NA,NA,NA,4146000,NA,NA,NA,NA,75000
"DIRECTOR OF FINANCE-FRINGE BENEFITS",4275040,NA,NA,NA,NA,NA,NA,NA,NA,NA,4275040,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð COMMUNITY DEVELOPMENT BLOCK GRANT Ð TO BE ALLOCATED",20000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000000,NA,NA,NA,NA
"BOARD OF PENSIONS AND RETIREMENT",10174000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10174000,NA,NA
"DEPARTMENT OF PUBLIC HEALTH Ð STATE PAYMENT",149000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149000000
