"","General Fund  -  Personal Services ","General Fund  -  Purchase of Services ","General Fund  -  Materials Supplies and Equipment ","General Fund  -  Contributions Indemnities and Taxes ","General Fund  -  Payments to Other Funds ","General Fund  -  Advances and Other Miscellaneous Payments ","General Fund  -  Personal Services-Employee Benefits ","General Fund  -  Debt Service ","Water Fund  -  Personal Services ","Water Fund  -  Purchase of Services ","Water Fund  -  Materials Supplies and Equipment ","Water Fund  -  Contributions Indemnities and Taxes ","Water Fund  -  Payments to Other Funds ","Water Fund  -  Personal Services-Employee Benefits ","Water Fund  -  Debt Service ","Water Residual Fund  -  Payments to Other Funds ","COUNTY LIQUID FUELS TAX FUND  -  Personal Services ","COUNTY LIQUID FUELS TAX FUND  -  Purchase of Services ","COUNTY LIQUID FUELS TAX FUND  -  Materials Supplies and Equipment ","COUNTY LIQUID FUELS TAX FUND  -  Payments to Other Funds ","Special Gasoline Tax Fund  -  Personal Services ","Special Gasoline Tax Fund  -  Purchase of Services ","Special Gasoline Tax Fund  -  Materials Supplies and Equipment ","Special Gasoline Tax Fund  -  Payments to Other Funds ","Special Gasoline Tax Fund  -  Personal Services-Employee Benefits ","HEALTHCHOICES BEHAVIORAL HEALTH REVENUE FUND  -  Personal Services ","HEALTHCHOICES BEHAVIORAL HEALTH REVENUE FUND  -  Purchase of Services ","HEALTHCHOICES BEHAVIORAL HEALTH REVENUE FUND  -  Payments to Other Funds ","Hotel Room Rental Tax Fund  -  Contributions Indemnities and Taxes ","Grants Revenue Fund  -  Personal Services ","Grants Revenue Fund  -  Purchase of Services ","Grants Revenue Fund  -  Materials Supplies and Equipment ","Grants Revenue Fund  -  Contributions Indemnities and Taxes ","Grants Revenue Fund  -  Payments to Other Funds ","Grants Revenue Fund  -  Advances and Other Miscellaneous Payments ","Grants Revenue Fund  -  Personal Services-Employee Benefits ","Grants Revenue Fund  -  Advances and Other Miscellaneous Payment","Aviation   -  Personal Services ","Aviation   -  Purchase of Services ","Aviation   -  Materials Supplies and Equipment ","Aviation   -  Payments to Other Funds ","Aviation   -  Personal Services-Employee Benefits ","Aviation   -  Contributions Indemnities and Taxes ","Aviation   -  Debt Service ","Community Development Fund  -  Personal Services ","Community Development Fund  -  Purchase of Services ","Community Development Fund  -  Materials Supplies and Equipment ","Community Development Fund  -  Payments to Other Funds ","Community Development Fund  -  Personal Services-Employee Benefits ","Community Development Fund  -  Advances and Other Miscellaneous Payment","Car Rental Tax Fund  -  Purchase of Services ","Municipal Pensions fund  -  Personal Services ","Municipal Pensions fund  -  Personal Services-Employee Benefits ","Municipal Pensions fund  -  Purchase of Services ","Municipal Pensions fund  -  Materials Supplies and Equipment ","Municipal Pensions fund  -  Payments to Other Funds ","Housing Trust Fund  -  Personal Services ","Housing Trust Fund  -  Purchase of Services ","Acute Care Hospital Fund  -  Personal Services ","Acute Care Hospital Fund  -  Purchase of Services ","Acute Care Hospital Fund  -  Materials Supplies and Equipment ","Acute Care Hospital Fund  -  Payments to Other Funds ","Acute Care Hospital Fund  -  Personal Services-Employee Benefits "
"MAYOR Ð OFFICE OF THE INSPECTOR GENERAL",1533111,97975,5225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF THE CHIEF ADMINISTRATIVE OFFICER",4137615,2465049,16665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF EDUCATION",2592084,22211818,45550,100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76667,189630,1500,NA,NA,NA,34063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PLANNING AND DEVELOPMENT",4651095,3900596,91978,4168000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90000,56168222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4708736,56675441,256000,25000,NA,NA,NA,NA,NA,NA,NA,NA,1250000,38750000,NA,NA,NA,NA,NA
"MANAGING DIRECTOR",20339262,25421862,872013,NA,NA,NA,NA,NA,138550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3293207,5847251,410089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR Ð LEGAL SERVICES",NA,50375841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR Ð OFFICE OF FLEET MANAGEMENT",18539450,5104396,25418211,NA,NA,NA,NA,NA,3062196,1489000,4274640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1514839,588000,1493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR Ð OFFICE OF FLEET MANAGEMENT Ð VEHICLE PURCHASE",NA,NA,14797739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POLICE DEPARTMENT",688759185,7462807,13270952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3861903,4356842,7143170,NA,NA,NA,384114,NA,16961237,77500,93000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF STREETS",84297081,49188914,8442104,53171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3734000,3320330,200000,18670,6794388,16729343,12386269,30000,NA,NA,NA,NA,NA,1355000,16540000,5884000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIRE DEPARTMENT",263307745,6046121,8259314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11241685,5445189,2313262,NA,NA,NA,1145012,NA,8161574,15000,155900,23000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC HEALTH",54853461,92882896,8397518,NA,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19043038,107060965,22930926,NA,879732,NA,4297637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5393408,5980000,1339000,500000,NA
"DEPARTMENT OF PUBLIC HEALTH Ð OFFICE OF BEHAVIORAL HEALTH AND INTELLECTUAL DISABILITY",1076779,13125510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800000,1299100000,100000,NA,17132274,246507560,250000,NA,84707,NA,8070519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PARKS AND RECREATION",49347561,9516490,2750630,2897500,1550000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3337979,1937709,7346383,NA,NA,NA,592471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY",8659293,30107724,1435535,NA,27678994,NA,NA,NA,NA,4265847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY Ð CITY SUBSIDY FOR SEPTA",NA,84608000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY Ð SPACE RENTALS",NA,22457948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY Ð UTILITIES",NA,25008269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF HUMAN SERVICES",27246823,82756805,2069970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81613995,484484329,3929155,NA,NA,NA,38485241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF HUMAN SERVICES Ð OFFICE OF HOMELESS SERVICES",8830135,43554815,344127,32421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1805966,41873415,1021376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PRISONS",145430918,98365387,4373744,1201757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS",23144341,13579060,784475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS Ð BOARD OF LICENSE AND INSPECTION REVIEW",162284,10436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS Ð BOARD OF BUILDING STANDARDS",75419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF RECORDS",3084514,1538779,143758,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE",7765535,3029912,103109,4525000,8366704,54573000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4146000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75000,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð COMMUNITY COLLEGE OF PHILADELPHIA",NA,NA,NA,32409207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð FRINGE BENEFITS",NA,NA,NA,NA,NA,NA,1360238207,NA,NA,NA,NA,NA,NA,138140401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63950249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267592
"DIRECTOR OF FINANCE Ð HERO AWARD",NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð INDEMNITIES",NA,NA,NA,48780000,NA,NA,NA,NA,NA,NA,NA,8500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2512000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð REGULATION 32 PAYROLL",2650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð REFUNDS",NA,NA,NA,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð CONTRIBUTION TO SCHOOL DISTRICT",NA,NA,NA,180870541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð WITNESS FEES",NA,171518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF REVENUE",22156816,7630749,919976,NA,NA,NA,NA,NA,10171000,5059000,1429500,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26425000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,NA,15000,NA,NA
"DEPARTMENT OF REVENUE Ð SINKING FUND COMMISSION",NA,125536378,NA,NA,NA,NA,NA,169496126,NA,NA,NA,NA,NA,NA,212992336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163801936,NA,NA,NA,NA,NA,NA,7000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PROCUREMENT DEPARTMENT",2573121,2316267,49054,NA,NA,NA,NA,NA,93093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY TREASURER",1046647,623444,22224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY REPRESENTATIVE",704470,399779,54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
