"","total","General Fund","Water Fund","Water Residual Fund","COUNTY LIQUID FUELS TAX FUND","Special Gasoline Tax Fund","HEALTHCHOICES BEHAVIORAL HEALTH REVENUE FUND","Hotel Room Rental Tax Fund","Grants Revenue Fund","Aviation ","Community Development Fund","Car Rental Tax Fund","Municipal Pensions fund","Housing Trust Fund","Acute Care Hospital Fund"
"DEPARTMENT OF PLANNING AND DEVELOPMENT",170735068,12811669,NA,NA,NA,NA,NA,NA,56258222,NA,61665177,NA,NA,40000000,NA
"MANAGING DIRECTOR",56322234,46633137,138550,NA,NA,NA,NA,NA,9550547,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR Ð LEGAL SERVICES",50375841,50375841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR Ð OFFICE OF FLEET MANAGEMENT",61483732,49062057,8825836,NA,NA,NA,NA,NA,NA,3595839,NA,NA,NA,NA,NA
"MANAGING DIRECTOR Ð OFFICE OF FLEET MANAGEMENT Ð VEHICLE PURCHASE",14797739,14797739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POLICE DEPARTMENT",742370710,709492944,NA,NA,NA,NA,NA,NA,15746029,17131737,NA,NA,NA,NA,NA
"DEPARTMENT OF STREETS",208973270,141981270,NA,NA,7273000,35940000,NA,NA,23779000,NA,NA,NA,NA,NA,NA
"FIRE DEPARTMENT",306113802,277613180,NA,NA,NA,NA,NA,NA,20145148,8355474,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC HEALTH",324058581,156633875,NA,NA,NA,NA,NA,NA,154212298,NA,NA,NA,NA,NA,13212408
"DEPARTMENT OF PUBLIC HEALTH Ð OFFICE OF BEHAVIORAL HEALTH AND INTELLECTUAL DISABILITY",1586247349,14202289,NA,NA,NA,NA,1300000000,NA,272045060,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PARKS AND RECREATION",79276723,66062181,NA,NA,NA,NA,NA,NA,13214542,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY",72147393,67881546,4265847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY Ð CITY SUBSIDY FOR SEPTA",84608000,84608000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY Ð SPACE RENTALS",22457948,22457948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY Ð UTILITIES",51908269,25008269,NA,NA,NA,NA,NA,NA,NA,26900000,NA,NA,NA,NA,NA
"DEPARTMENT OF HUMAN SERVICES",720586318,112073598,NA,NA,NA,NA,NA,NA,608512720,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF HUMAN SERVICES Ð OFFICE OF HOMELESS SERVICES",97462255,52761498,NA,NA,NA,NA,NA,NA,44700757,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PRISONS",249371806,249371806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS",38022694,37507876,NA,NA,NA,NA,NA,NA,NA,NA,514818,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS Ð BOARD OF LICENSE AND INSPECTION REVIEW",172720,172720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS Ð BOARD OF BUILDING STANDARDS",75419,75419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF RECORDS",4768507,4768507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE",82584260,78363260,NA,NA,NA,NA,NA,NA,NA,4146000,NA,NA,NA,NA,75000
"DIRECTOR OF FINANCE Ð COMMUNITY COLLEGE OF PHILADELPHIA",32409207,32409207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð FRINGE BENEFITS",1563596449,1360238207,138140401,NA,NA,1000000,NA,NA,NA,63950249,NA,NA,NA,NA,267592
"DIRECTOR OF FINANCE Ð HERO AWARD",25000,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð INDEMNITIES",59792000,48780000,8500000,NA,NA,NA,NA,NA,NA,2512000,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð REGULATION 32 PAYROLL",2650000,2650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð REFUNDS",250000,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð CONTRIBUTION TO SCHOOL DISTRICT",180870541,180870541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð WITNESS FEES",171518,171518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF REVENUE",73842041,30707541,16664500,NA,NA,NA,NA,NA,26425000,NA,NA,NA,NA,NA,45000
"DEPARTMENT OF REVENUE Ð SINKING FUND COMMISSION",678826776,295032504,212992336,NA,NA,NA,NA,NA,NA,163801936,NA,7000000,NA,NA,NA
"PROCUREMENT DEPARTMENT",5034535,4938442,93093,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,NA
"CITY TREASURER",1692315,1692315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY REPRESENTATIVE",1158249,1158249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF COMMERCE",299134276,6013658,NA,NA,NA,NA,NA,73868000,10000000,199800000,9452618,NA,NA,NA,NA
"DIRECTOR OF COMMERCE Ð CONVENTION CENTER SUBSIDY",15000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF COMMERCE Ð ECONOMIC STIMULUS",2397004,2397004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-11-",15835164,15835164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOARD OF ETHICS",1074792,1074792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFFICE OF SUSTAINABILITY",1355747,949327,93874,NA,NA,NA,NA,NA,218673,93873,NA,NA,NA,NA,NA
"BOARD OF TRUSTEES OF THE FREE LIBRARY OF PHILADELPHIA",49900320,41286517,NA,NA,NA,NA,NA,NA,8613803,NA,NA,NA,NA,NA,NA
"COMMISSION ON HUMAN RELATIONS",2202336,2202336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CIVIL SERVICE COMMISSION",16645428,16645428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFFICE OF HUMAN RESOURCES",6343869,6343869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFFICE OF PROPERTY ASSESSMENT",14216425,14216425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUDITING DEPARTMENT",9093008,8893008,NA,NA,NA,NA,NA,NA,200000,NA,NA,NA,NA,NA,NA
"BOARD OF REVISION OF TAXES",1046903,1046903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REGISTER OF WILLS",4638881,4438881,NA,NA,NA,NA,NA,NA,200000,NA,NA,NA,NA,NA,NA
"DISTRICT ATTORNEY",58644322,41792293,NA,NA,NA,NA,NA,NA,16852029,NA,NA,NA,NA,NA,NA
"SHERIFF",26150422,26150422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY COMMISSIONERS",11276881,10351881,NA,NA,NA,NA,NA,NA,925000,NA,NA,NA,NA,NA,NA
"FIRST JUDICIAL DISTRICT OF PENNSYLVANIA",161682644,109556573,NA,NA,NA,NA,NA,NA,52126071,NA,NA,NA,NA,NA,NA
"WATER DEPARTMENT",456220912,NA,419220912,37000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW DEPARTMENT",5200206,NA,3240830,NA,NA,NA,NA,NA,200000,1563803,195573,NA,NA,NA,NA
"WATER DEPARTMENT Ð PHILADELPHIA WATER SEWER AND STORMWATER RATE BOARD",565000,NA,565000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COUNCIL Ð VETERANS ADVISORY COMMISSION",205300,NA,NA,NA,NA,NA,NA,NA,205300,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF COMMUNITY AND OPPORTUNITY EMPOWERMENT",18545224,NA,NA,NA,NA,NA,NA,NA,18545224,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð PROVISION FOR GRANTS OTHER",250000678,NA,NA,NA,NA,NA,NA,NA,250000678,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR Ð OFFICE OF FLEET MANAGEMENT ÐVEHICLE PURCHASE",4800000,NA,NA,NA,NA,NA,NA,NA,NA,4800000,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE-FRINGE BENEFITS",4152814,NA,NA,NA,NA,NA,NA,NA,NA,NA,4152814,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð COMMUNITY DEVELOPMENT BLOCK GRANT Ð TO BE ALLOCATED",20000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000000,NA,NA,NA,NA
"BOARD OF PENSIONS AND RETIREMENT",10562000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10562000,NA,NA
"DEPARTMENT OF PUBLIC HEALTH Ð STATE PAYMENT",149000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149000000
