"","General Fund  -  Personal Services ","General Fund  -  Purchase of Services ","General Fund  -  Materials Supplies and Equipment ","General Fund  -  Contributions Indemnities and Taxes ","General Fund  -  Payments to Other Funds ","General Fund  -  Advances and Other Miscellaneous Payments ","General Fund  -  Personal Services-Employee Benefits ","General Fund  -  Debt Service ","Water Fund  -  Personal Services ","Water Fund  -  Purchase of Services ","Water Fund  -  Materials Supplies and Equipment ","Water Fund  -  Contributions Indemnities and Taxes ","Water Fund  -  Payments to Other Funds ","Water Fund  -  Personal Services-Employee Benefits ","Water Fund  -  Debt Service ","Water Residual Fund  -  Purchase of Services ","Water Residual Fund  -  Materials Supplies and Equipment ","Water Residual Fund  -  Payments to Other Funds ","County Liquid Fuels Tax  -  Personal Services ","County Liquid Fuels Tax  -  Purchase of Services ","County Liquid Fuels Tax  -  Materials Supplies and Equipment ","County Liquid Fuels Tax  -  Payments to Other Funds ","Special Gasoline Tax  -  Personal Services ","Special Gasoline Tax  -  Purchase of Services ","Special Gasoline Tax  -  Materials Supplies and Equipment ","Special Gasoline Tax  -  Payments to Other Funds ","Special Gasoline Tax  -  Personal Services-Employee Benefits ","HEALTHCHOICES BEHAVIORAL Health Revenue Fund  -  Personal Services ","HEALTHCHOICES BEHAVIORAL Health Revenue Fund  -  Purchase of Services ","HEALTHCHOICES BEHAVIORAL Health Revenue Fund  -  Payments to Other Funds ","Hotel Room Rental Tax  -  Contributions Indemnities and Taxes ","Grants Revenue Fund  -  Personal Services ","Grants Revenue Fund  -  Purchase of Services ","Grants Revenue Fund  -  Materials Supplies and Equipment ","Grants Revenue Fund  -  Contributions Indemnities and Taxes ","Grants Revenue Fund  -  Payments to Other Funds ","Grants Revenue Fund  -  Personal Services-Employee Benefits ","Grants Revenue Fund  -  Advances and Other Miscellaneous Payment ","Aviation Fund  -  Personal Services ","Aviation Fund  -  Purchase of Services ","Aviation Fund  -  Materials Supplies and Equipment ","Aviation Fund  -  Payments to Other Funds ","Aviation Fund  -  Personal Services-Employee Benefits ","Aviation Fund  -  Contributions Indemnities and Taxes ","Aviation Fund  -  Debt Service ","Community Development Fund  -  Personal Services ","Community Development Fund  -  Purchase of Services ","Community Development Fund  -  Materials Supplies and Equipment ","Community Development Fund  -  Payments to Other Funds ","Community Development Fund  -  Personal Services-Employee Benefits ","Community Development Fund  -  Advances and Other Miscellaneous Payment ","Car Rental Tax Fund  -  Purchase of Services ","Municipal Pension Fund  -  Personal Services ","Municipal Pension Fund  -  Personal Services-Employee Benefits ","Municipal Pension Fund  -  Purchase of Services ","Municipal Pension Fund  -  Materials Supplies and Equipment ","Municipal Pension Fund  -  Payments to Other Funds ","Housing Trust Fund  -  Personal Services ","Housing Trust Fund  -  Purchase of Services ","Acute Care Hospital Fund  -  Personal Services ","Acute Care Hospital Fund  -  Purchase of Services ","Acute Care Hospital Fund  -  Materials Supplies and Equipment ","Acute Care Hospital Fund  -  Payments to Other Funds ","Acute Care Hospital Fund  -  Personal Services-Employee Benefits ","Budget Stabilization Fund  -  Payments to Other Funds "
"MAYOR – OFFICE OF THE CHIEF ADMINISTRATIVE OFFICER",4784551,2627049,26665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR – OFFICE OF EDUCATION",3292180,42015834,42000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171667,189630,1500,NA,NA,34063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PLANNING AND DEVELOPMENT",5167172,5192113,101461,1350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90000,61780058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4957590,63025771,252500,25000,NA,NA,NA,NA,NA,NA,NA,NA,2250000,66166000,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR",23170579,31472162,1136979,NA,NA,NA,NA,NA,138550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5728587,4153247,334488,NA,NA,327000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR – LEGAL SERVICES",NA,50439541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR – OFFICE OF FLEET MANAGEMENT",19416871,5305396,25391767,NA,NA,NA,NA,NA,3083114,1489000,4274640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1520109,588000,1493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR – OFFICE OF FLEET MANAGEMENT – VEHICLE PURCHASE",NA,NA,17286549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POLICE DEPARTMENT",718359324,8353063,14452710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3473869,3453363,7151521,NA,NA,361232,NA,17861395,77500,93000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF STREETS",90464913,58810652,7704196,53171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3734000,3320330,200000,18670,6794388,16729343,12386269,30000,NA,NA,NA,NA,NA,1160000,21827000,6694000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIRE DEPARTMENT",273966292,6516272,8831714,NA,9235000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16997374,5068028,3464091,NA,NA,1209022,NA,9126574,15000,155900,23000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC HEALTH",58328165,90224827,7519148,NA,4500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18803213,100563075,22009735,NA,21591455,4363487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8416081,5898327,1339000,4500000,NA,NA
"DEPARTMENT OF PUBLIC HEALTH – OFFICE OF BEHAVIORAL HEALTH AND INTELLECTUAL DISABILITY",1534468,14360976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800000,1299083000,117000,NA,19656090,256212513,250000,NA,97308,9266948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PARKS AND RECREATION",52490935,7115490,2740630,2711000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3660991,1790209,7533383,NA,NA,568241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY",9395654,31314408,1338535,NA,26643000,NA,NA,NA,NA,4270347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY – CITY SUBSIDY FOR SEPTA",NA,87556000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY – SPACE RENTALS",NA,26278677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY – UTILITIES",NA,27393339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF HUMAN SERVICES",27646449,89248594,2069970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87702944,491056957,3929155,NA,NA,40324776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF HUMAN SERVICES – OFFICE OF HOMELESS SERVICES",9545748,50023423,344127,32421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952491,42205373,1271376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PRISONS",139765668,92842354,4373744,1201757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS",25967209,14403945,911397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS – BOARD OF LICENSE AND INSPECTION REVIEW",163434,10436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS – BOARD OF BUILDING STANDARDS",80366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF RECORDS",3226285,1538779,143758,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE",9084313,3029912,103109,4725000,28285000,55108000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4146000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75000,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – BUDGET STABILIZATION",NA,NA,NA,NA,34276000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
"DIRECTOR OF FINANCE – COMMUNITY COLLEGE OF PHILADELPHIA",NA,NA,NA,33759207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – FRINGE BENEFITS",NA,NA,NA,NA,NA,NA,1411963002,NA,NA,NA,NA,NA,NA,147439194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66061224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267592,NA
"DIRECTOR OF FINANCE – HERO AWARD",NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – INDEMNITIES",NA,NA,NA,49246000,NA,NA,NA,NA,NA,NA,NA,7500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2512000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – REGULATION 32 PAYROLL",2650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – REFUNDS",NA,NA,NA,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – CONTRIBUTION TO SCHOOL DISTRICT",NA,NA,NA,222456410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – WITNESS FEES",NA,171518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF REVENUE",23934508,7755749,1188976,NA,NA,NA,NA,NA,10873116,5165000,1429500,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26425000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,NA,15000,NA,NA,NA
"DEPARTMENT OF REVENUE – SINKING FUND COMMISSION",NA,109222498,NA,NA,NA,NA,NA,187482819,NA,NA,NA,NA,NA,NA,218105830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134825501,NA,NA,NA,NA,NA,NA,7000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PROCUREMENT DEPARTMENT",2709242,2916267,49054,NA,NA,NA,NA,NA,105285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY TREASURER",1262499,198444,22224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
